Event,Node,Arrival,Mode
1,43,41.388446839236536,None
1,41,41.40165662773926,None
1,9,41.402549946448666,None
1,37,41.41392853783636,None
1,5,41.549425266818986,None
1,20,41.73616944644617,None
1,12,41.87391919192878,None
1,24,41.979974021552124,None
1,29,41.99499188866392,None
1,27,42.09916848042855,None
1,26,42.181843880536924,None
1,19,42.22011616343264,None
1,42,42.29269046189949,None
1,41,42.332761626849404,None
1,13,42.333043366390946,None
1,33,42.33417810385913,None
1,15,42.53342180636821,None
1,17,42.55249767775686,None
1,23,42.579862342109635,None
1,25,42.59460185929104,None
1,19,43.146974047865804,None
1,30,43.21105151882586,None
1,8,43.27847607258747,None
1,21,43.293235466651154,None
1,44,43.36149104264225,None
1,43,43.446694946106916,None
1,41,43.47419850211136,None
1,34,43.67714487464606,None
1,19,43.98578179822089,None
1,26,44.11422308621401,None
1,42,44.24886654564214,None
1,31,44.31172440888181,None
1,37,44.453011252539866,None
1,41,44.46986110026023,None
1,36,44.57091756223164,None
1,13,44.67185050210655,None
1,5,44.76997775698958,None
1,18,44.781800730825815,None
1,19,44.87749629179067,None
1,38,45.065956757531985,None
1,9,45.25177624068471,None
1,43,45.49680863154201,None
1,25,45.498942974668516,None
1,40,45.500669452063235,None
1,39,45.59689142839167,None
1,41,45.622374367641235,None
1,19,45.87393507630747,None
1,10,45.94564235095527,None
1,24,46.09534551436744,None
1,26,46.12711062122724,None
1,32,46.260080739637324,None
1,42,46.29680142553869,None
1,19,46.631258861656654,None
1,20,46.637934897745254,None
1,41,46.6943623826542,None
1,13,46.75955393535698,None
1,14,46.98064753159304,None
1,28,47.130557413097385,None
1,7,47.14296351641009,None
1,31,47.30772004792522,None
1,43,47.33675304150134,None
1,22,47.41323113646441,None
1,35,47.43166361917347,None
1,41,47.437893507883956,None
1,37,47.5030482170983,None
1,16,47.70776420884171,None
1,19,47.73822073200343,None
1,5,47.88864401141757,None
1,27,47.971826140177136,None
1,26,48.12407623575196,None
1,29,48.28601133050543,None
1,21,48.30330509869972,None
1,42,48.394290504699065,None
1,36,48.5876924879934,None
1,41,48.594093019320916,None
1,25,48.59445748098943,None
1,15,48.68452728107953,None
1,34,48.69108109295854,None
1,18,48.80088304692038,None
1,19,48.819887628043816,None
1,11,48.88274788894792,None
1,13,48.982708510927765,None
1,8,49.18401912646914,None
1,43,49.18439555368032,None
1,6,49.319532569978264,None
1,9,49.34209440362537,None
1,33,49.35213971523295,None
1,41,49.62488547996421,None
1,12,49.77180882386,None
1,19,50.002619621882076,None
1,26,50.00646375945434,None
1,24,50.157683351311185,None
1,44,50.16626934369484,None
1,17,50.258402438771284,None
1,42,50.29664060315287,None
1,31,50.323401400458,None
1,39,50.40260618583216,None
1,37,50.6087469963438,None
1,41,50.66043191963454,None
1,5,50.77258780119414,None
1,19,50.814245807389476,None
1,43,50.931367897037,None
1,13,50.957666596312734,None
1,23,51.461951642587856,None
1,41,51.52606138061278,None
1,40,51.54227920055918,None
1,20,51.67331735367494,None
1,25,51.78143834724317,None
1,19,51.97780997360394,None
1,26,52.0959162050027,None
1,10,52.14947380965113,None
1,30,52.29661909538344,None
1,42,52.34804614355604,None
1,41,52.49855576986276,None
1,36,52.533057587739364,None
1,43,52.8179939032339,None
1,18,52.916641831947544,None
1,19,53.065783956893696,None
1,14,53.07172840573327,None
1,38,53.09702371589427,None
1,13,53.09878458178447,None
1,21,53.19585429876923,None
1,7,53.200766840169344,None
1,22,53.36939402158336,None
1,31,53.3732971596199,None
1,41,53.43305612382481,None
1,9,53.51304611092624,None
1,5,53.58932748761223,None
1,37,53.62257628435505,None
1,34,53.76459827299665,None
1,19,53.86636930783787,None
1,27,53.92050478850016,None
1,26,54.1483244610348,None
1,29,54.19653685461617,None
1,24,54.32629329135813,None
1,35,54.34129926351212,None
1,42,54.362646878756244,None
1,41,54.48288320801748,None
