Event,Node,Arrival,Mode
1,20,181.46830008245652,None
1,42,181.60597283425196,None
1,20,181.69142387050638,None
1,20,181.6954021602703,None
1,35,181.70766652583967,None
1,38,181.7352168829021,None
1,42,181.7426698804725,None
1,16,181.85396072628663,None
1,25,181.8772218528921,None
1,42,181.90121840154652,None
1,32,181.95670794517744,None
1,42,182.03336371740818,None
1,6,182.46831129488712,None
1,32,182.53546284098059,None
1,32,182.5415535224142,None
1,38,182.7098828299467,None
1,38,182.88880395714784,None
1,34,183.06477926501296,None
0,17,183.1460983529062,1
1,17,183.1460983529062,None
1,42,183.24117001129184,None
1,17,183.24771835715143,None
1,42,183.312543414867,None
1,32,183.3297718894758,None
1,42,183.37743983390484,None
1,20,183.42180519334522,None
1,38,183.43204082284882,None
1,17,183.43528003728912,None
1,16,183.43602088146508,None
1,16,183.45537530705803,None
1,6,183.4965002338485,None
1,17,183.54830149118732,None
1,17,183.5678458107004,None
1,16,183.6566863430572,None
1,17,183.69115949670822,None
1,6,183.8209867624221,None
1,35,183.9298679572828,None
1,17,183.94075234315366,None
1,35,183.9515059004416,None
1,38,183.9960785209992,None
1,35,184.00216733417403,None
1,38,184.08166940787143,None
1,20,184.11525754113424,None
1,35,184.373613435361,None
1,16,184.38928158098292,None
1,16,184.4563540921816,None
1,16,184.48115958548573,None
1,25,184.49412118204052,None
1,6,184.62433429453267,None
1,20,184.62892957299258,None
1,17,184.63230412215762,None
1,38,184.7369091044236,None
1,35,184.7409361806896,None
1,34,184.82102029577769,None
1,16,184.84938888976882,None
1,35,184.89296183484106,None
1,32,184.89316920051584,None
1,42,184.9157442343649,None
1,17,184.98352573394234,None
1,17,184.98943388853678,None
1,32,185.11765980987857,None
1,32,185.2243168550002,None
1,25,185.27923966407533,None
1,17,185.34794359945187,None
1,42,185.39559101472594,None
1,20,185.40757782625667,None
1,35,185.42546821441906,None
1,16,185.5367323046192,None
1,16,185.54500031603453,None
1,16,185.54963290738098,None
1,25,185.56725159070382,None
1,6,185.5828645268389,None
1,35,185.60579989073148,None
1,20,185.66150674752086,None
1,34,185.66442366735885,None
1,34,185.72232714645384,None
1,17,185.91581306294876,None
1,38,185.98283122618957,None
1,35,186.0516902067217,None
1,25,186.08459798903405,None
1,32,186.14731770489203,None
1,42,186.14865674345728,None
1,38,186.20362208766687,None
1,16,186.21851249149506,None
1,17,186.31180739455945,None
1,42,186.33117126338806,None
1,25,186.34291544509907,None
1,32,186.36298059720744,None
1,42,186.4469402644651,None
1,34,186.63111708133133,None
1,35,186.63985984164583,None
1,25,186.70171875181163,None
1,38,186.76889074068225,None
1,17,186.77093555671067,None
1,32,186.81300398301894,None
1,32,186.85817617704743,None
1,25,186.9444667678133,None
1,34,187.0835461670722,None
1,34,187.16987156530675,None
1,16,187.19286003788397,None
1,20,187.28230724503834,None
1,25,187.39292590562533,None
1,25,187.42232258062614,None
1,32,187.42440147631524,None
1,20,187.46416465353784,None
1,6,187.52267128039844,None
1,17,187.54485794074037,None
1,17,187.5784133598325,None
1,16,187.60762624835874,None
1,32,187.62018317992244,None
1,38,187.64030222484274,None
1,16,187.6737473779719,None
1,16,187.67757714303048,None
1,42,187.73178259432555,None
1,34,187.75393876237112,None
1,34,187.77791571352202,None
1,20,187.9000444884426,None
1,38,188.06657034200197,None
1,6,188.09077779500632,None
1,38,188.10104105049277,None
1,42,188.14341317736745,None
1,6,188.1921477279145,None
1,16,188.24255192292293,None
1,6,188.30706852505784,None
1,6,188.3352756530646,None
1,34,188.43267474298517,None
1,42,188.43934735774891,None
1,20,188.58348193534405,None
1,42,188.67244501185678,None
1,25,188.71147591515265,None
1,25,188.71257691934832,None
0,4,188.72102876108326,1
1,4,188.72102876108326,None
1,42,188.75169521861338,None
1,42,188.824466707352,None
1,35,188.94441745511926,None
1,6,188.98974887216397,None
1,32,189.07511180725047,None
1,4,189.28565367798208,None
1,34,189.28573571572738,None
1,4,189.403569121431,None
1,16,189.43421360346403,None
1,42,189.56353681287354,None
1,4,189.56825892209244,None
1,32,189.57823851263765,None
1,25,189.60566921998887,None
1,20,189.70831361912576,None
1,32,189.75681584337153,None
1,16,189.76341399231862,None
1,25,189.79686871336258,None
1,17,189.8133363629457,None
1,34,189.83031213272454,None
1,16,189.83088518164115,None
1,42,189.9074164474149,None
1,35,189.92282819884747,None
1,4,189.92732865083653,None
1,38,190.04512438558,None
1,20,190.05385746189202,None
1,6,190.0925638951905,None
1,16,190.1980766693664,None
1,6,190.23293693605572,None
1,6,190.4322127136122,None
1,42,190.48592093234856,None
1,42,190.51631269220107,None
1,32,190.51835829422708,None
1,17,190.640639477753,None
1,20,190.68740839227738,None
1,34,190.69959892352878,None
1,6,190.7102224664158,None
1,20,190.7243028461213,None
1,20,190.84322884819895,None
1,32,190.87562948635082,None
1,16,190.902815762431,None
1,17,190.97444599236687,None
1,17,190.98159206971394,None
1,4,191.01687690886362,None
1,20,191.13098191888258,None
1,17,191.13740114749405,None
1,25,191.1642831138596,None
1,25,191.16599596544881,None
1,6,191.19477038167904,None
1,35,191.3264635353399,None
1,32,191.39413497847465,None
1,20,191.44137977797857,None
1,4,191.50711938817602,None
1,25,191.5600493503134,None
1,35,191.58697041924356,None
1,38,191.61055878405367,None
1,35,191.6400621035526,None
1,17,191.6645497197647,None
1,25,191.6959058297908,None
1,20,191.71893814738942,None
1,20,191.74251063118234,None
1,35,191.7445338932994,None
1,17,191.76160050067233,None
1,4,191.79621741099737,None
1,16,191.86840592796204,None
1,16,191.8685723712328,None
1,38,191.91434322061556,None
1,35,192.06894070377518,None
1,4,192.0952691610957,None
1,42,192.13956520016148,None
1,25,192.2011996372526,None
1,20,192.20858146294066,None
1,16,192.2391773339356,None
1,42,192.2530993095698,None
1,17,192.27038002024267,None
1,20,192.3340336635073,None
1,25,192.3529611345014,None
1,16,192.3565079146869,None
1,16,192.37172485035762,None
1,4,192.443902258352,None
1,20,192.47124919469854,None
1,32,192.5032394135441,None
1,17,192.60550826007525,None
1,25,192.62002741087537,None
1,38,192.70698726617724,None
1,32,192.81550463968907,None
